Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_pitch_joint,waist_roll_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint
38,0.04559294134378433,1.9728577136993408,66.29820251464844,1.073514023744169,-0.9682217627198789,-92.83075193480973,2.1547103,3.9995964,5.5962048,6.735022,-6.9381194,0.0,3.056089,-4.922036,-9.855921,6.666239,-11.310903,0.0,-3.3472998,4.4259043,-1.3714432,2.2018178,-1.8366839,11.076,21.625017,-36.536186,-52.605957,-13.160882,7.230511,-12.210748,5.3667417,-20.627525,24.813545,-45.8022,11.452652,4.3152323,11.715786
39,0.0450630746781826,1.9754353761672974,66.29876708984375,1.0742697762668434,-0.9695412848998853,-92.82953904442958,2.153645,3.9995062,5.5955043,6.734465,-6.93651,0.0,3.0556116,-4.9221516,-9.857002,6.6658382,-11.30876,0.0,-3.3471713,4.426821,-1.3707762,2.2018251,-1.8366882,11.07597,21.629381,-36.536774,-52.60636,-13.160831,7.230309,-12.210748,5.3666167,-20.632212,24.813976,-45.802727,11.452426,4.3150516,11.715921
40,0.0431424118578434,1.979013204574585,66.29865264892578,1.0757010736873975,-0.9716341169038585,-92.82661946160069,2.151639,3.9998589,5.5931273,6.734295,-6.9330325,0.0,3.0546725,-4.92184,-9.859496,6.667017,-11.307085,0.0,-3.3467534,4.428635,-1.3694699,2.2018402,-1.8366963,11.07591,21.63804,-36.537956,-52.607178,-13.160729,7.2298985,-12.210748,5.366369,-20.641497,24.814838,-45.80378,11.451969,4.3146906,11.716199
41,0.04015997797250748,1.9815080165863037,66.29851531982422,1.077341108479049,-0.9733757742889791,-92.82349560020141,2.1500173,4.0008426,5.5901337,6.7342415,-6.929363,0.0,3.0549893,-4.920756,-9.862236,6.6676188,-11.30656,0.0,-3.3462636,4.430549,-1.3681697,2.2018552,-1.8367044,11.075846,21.646778,-36.53915,-52.60803,-13.160613,7.2294707,-12.210748,5.3661222,-20.65087,24.815718,-45.80485,11.4515,4.3143206,11.716488
42,0.04015166684985161,1.9815239906311035,66.29886627197266,1.0773443223608228,-0.9733849447727505,-92.82348605652223,2.1498682,4.001112,5.589538,6.7341304,-6.92825,0.0,3.0549579,-4.920732,-9.862237,6.667881,-11.3067875,0.0,-3.3462613,4.4305573,-1.3681644,2.2018552,-1.8367044,11.075846,21.646812,-36.539154,-52.60803,-13.160613,7.229469,-12.210748,5.3661213,-20.650906,24.815722,-45.804855,11.451498,4.3143196,11.716489
43,0.039787985384464264,1.9823936223983765,66.29903411865234,1.0778120679381835,-0.9739538904318904,-92.82266933488577,2.1492634,4.001232,5.5882998,6.7337437,-6.925811,0.0,3.0548363,-4.920838,-9.862937,6.6678452,-11.306084,0.0,-3.3460827,4.4311104,-1.3678188,2.2018588,-1.8367063,11.0758295,21.648962,-36.539444,-52.608246,-13.160574,7.2293587,-12.210748,5.3660645,-20.65321,24.815947,-45.805122,11.451381,4.3142266,11.716565
44,0.0403004065155983,1.9848233461380005,66.30013275146484,1.0793566288788456,-0.9758253121315786,-92.81936716888897,2.1476977,3.9998233,5.585427,6.7337375,-6.9221673,0.0,3.055032,-4.9226007,-9.865605,6.6683455,-11.30468,0.0,-3.345301,4.433543,-1.3664607,2.201874,-1.8367138,11.075764,21.657726,-36.540634,-52.60914,-13.160401,7.228896,-12.210748,5.365841,-20.662634,24.816881,-45.80622,11.450904,4.313838,11.716886
45,0.039438772946596146,1.9862124919891357,66.30076599121094,1.0809583990677576,-0.9772108411275076,-92.81592057090658,2.1464155,3.9991267,5.5827985,6.7338567,-6.9200397,0.0,3.0557997,-4.923288,-9.8684435,6.669542,-11.305202,0.0,-3.3444154,4.436035,-1.3652697,2.201889,-1.8367212,11.075697,21.666311,-36.541805,-52.610027,-13.160231,7.2284365,-12.210748,5.3656263,-20.671871,24.817822,-45.80731,11.450449,4.3134522,11.717209
46,0.036642108112573624,1.9890437126159668,66.30038452148438,1.0828086395717225,-0.9787356417610397,-92.81181109910108,2.143945,3.9997163,5.579795,6.7338324,-6.9167376,0.0,3.0557532,-4.9225435,-9.871979,6.6700535,-11.304357,0.0,-3.3432648,4.438886,-1.364179,2.2019057,-1.8367295,11.0756235,21.67578,-36.54311,-52.61102,-13.1600485,7.2279267,-12.210748,5.3653946,-20.682064,24.818895,-45.808514,11.449969,4.3130217,11.717568
47,0.03430690988898277,1.9908405542373657,66.30042266845703,1.0842081440321445,-0.9797080751373533,-92.8078902106175,2.1425052,4.000327,5.5770435,6.732666,-6.91389,0.0,3.0563061,-4.9217005,-9.875307,6.670237,-11.3042555,0.0,-3.3420978,4.441584,-1.3633713,2.2019215,-1.8367374,11.075557,21.684412,-36.544308,-52.61193,-13.159887,7.227458,-12.210748,5.3651886,-20.691366,24.819904,-45.809624,11.4495535,4.3126254,11.717902
