Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
22,0.0940176323056221,2.083927869796753,78.64794158935547,0.02035023126698785,0.29162360046160013,-88.70551581820513,-0.66438913,-1.0427986,9.249469,6.4510293,-6.7103868,1.7707739,-0.17275174,0.47746882,-7.351397,6.568385,-7.8545737,-1.2531792,-3.254961,1.7108525,2.6032252,2.0901403,7.983627,-7.2266097,70.74604,4.2983828,-2.6506214,0.72902024,1.4683347,-5.8187127,-1.7355975,63.909153,-24.61921,-0.5571679,-9.831724
23,0.09504902362823486,2.0816996097564697,78.64755249023438,0.01924353004579407,0.28601489692186216,-88.70264593189228,-0.6555988,-1.0432076,9.246343,6.449159,-6.7118363,1.7712114,-0.16307817,0.477466,-7.3539543,6.566848,-7.8570375,-1.2522938,-3.2551544,1.7127917,2.6068811,2.0985153,7.9948735,-7.223898,70.7477,4.29338,-2.6570394,0.70505047,1.4713904,-5.816547,-1.7343534,63.909748,-24.576595,-0.59320307,-9.842139
24,0.09585274755954742,2.0801634788513184,78.64752197265625,0.019023863760292227,0.2836783776466553,-88.69929972620713,-0.6519379,-1.0444561,9.242992,6.450523,-6.7146955,1.7717019,-0.15939459,0.47621176,-7.357033,6.5688324,-7.8603196,-1.2514136,-3.2543852,1.7165008,2.607905,2.1028538,8.002645,-7.2219687,70.75335,4.2925134,-2.6639752,0.69145644,1.4725147,-5.814926,-1.7344023,63.909218,-24.547684,-0.6138285,-9.850222
25,0.09684377908706665,2.0781288146972656,78.64754486083984,0.019938564692753055,0.28600280361328406,-88.69501279711366,-0.65428376,-1.0472511,9.239066,6.4511123,-6.715383,1.7723595,-0.15905203,0.47346944,-7.3607492,6.568258,-7.862221,-1.2501153,-3.2526474,1.7199316,2.6045356,2.1102133,8.012062,-7.2217164,70.74979,4.2965827,-2.6723263,0.6821304,1.4725703,-5.8127904,-1.734765,63.90746,-24.535868,-0.6147992,-9.852557
26,0.09840142726898193,2.0756163597106934,78.64726257324219,0.021678566979588202,0.2912133943091722,-88.69032220448452,-0.658611,-1.0518101,9.234959,6.4505877,-6.715919,1.7735512,-0.16149071,0.4691661,-7.3647056,6.568,-7.8643913,-1.2481011,-3.2498689,1.7266109,2.59831,2.11266,8.016128,-7.223373,70.75276,4.30431,-2.6828425,0.6841744,1.4716965,-5.8118124,-1.7349659,63.90406,-24.533033,-0.60138106,-9.85358
27,0.09956761449575424,2.0732169151306152,78.64729309082031,0.02346649812423319,0.2971858928225456,-88.68544754554148,-0.6650098,-1.0559527,9.230661,6.4516816,-6.716698,1.7744968,-0.16569722,0.46499035,-7.3688335,6.56819,-7.866059,-1.2463592,-3.2466753,1.7324758,2.5917983,2.114865,8.020917,-7.2272363,70.75497,4.3116536,-2.6925135,0.68723893,1.4698075,-5.8106337,-1.7352166,63.899853,-24.5356,-0.58401555,-9.853266
28,0.10185657441616058,2.072397470474243,78.64749145507812,0.02513878117181494,0.3020565488479471,-88.68104186176987,-0.6705095,-1.0609288,9.226925,6.451825,-6.7164683,1.7768359,-0.17015122,0.46003312,-7.3724384,6.5683455,-7.866245,-1.2436713,-3.2441137,1.7381455,2.587704,2.1160834,8.022535,-7.22924,70.75511,4.3127384,-2.698338,0.6858561,1.4681363,-5.810192,-1.7352202,63.895752,-24.540123,-0.5731279,-9.852661
29,0.10259279608726501,2.0708653926849365,78.64749145507812,0.024978045381185206,0.3060959830662961,-88.67730769012057,-0.6744828,-1.0624378,9.223011,6.4519067,-6.716541,1.7778656,-0.17235988,0.45875973,-7.376032,6.5679107,-7.8674936,-1.2424453,-3.2425575,1.7412431,2.586808,2.1187437,8.026487,-7.234133,70.75074,4.3051624,-2.6980865,0.6782926,1.4620073,-5.809013,-1.7347828,63.89461,-24.547329,-0.57022417,-9.853618
30,0.10566523671150208,2.069681406021118,78.6478042602539,0.025663798565583623,0.30997996562332164,-88.67380319440251,-0.678457,-1.0666908,9.219742,6.4525046,-6.7172747,1.7812843,-0.17516035,0.4545218,-7.378939,6.568373,-7.868624,-1.2389237,-3.2415378,1.7437832,2.587649,2.1205323,8.0300865,-7.2375207,70.745026,4.2940803,-2.6940713,0.6664494,1.4554869,-5.807751,-1.7338225,63.892395,-24.558382,-0.5709768,-9.854255
31,0.10917782783508301,2.0673675537109375,78.64765167236328,0.02449691615407179,0.3126922627682951,-88.67058396799618,-0.67975444,-1.0692866,9.216431,6.451823,-6.718226,1.7845706,-0.17618869,0.45205247,-7.381777,6.568085,-7.869618,-1.2352993,-3.2410867,1.7444483,2.5900037,2.1227055,8.034916,-7.241152,70.73801,4.2835045,-2.6893842,0.6550497,1.4455464,-5.8058367,-1.7317541,63.89322,-24.569904,-0.5726187,-9.854389
32,0.11154045164585114,2.0639591217041016,78.6471939086914,0.025349830705628233,0.31305735668842655,-88.66731646004675,-0.67723155,-1.0730777,9.21354,6.4504557,-6.7198944,1.7868123,-0.17233121,0.44858384,-7.384155,6.567185,-7.872653,-1.232363,-3.2409418,1.7432026,2.5927496,2.1253896,8.0427065,-7.245104,70.73133,4.2786536,-2.6878014,0.64850885,1.4346551,-5.8023915,-1.7279557,63.896736,-24.5784,-0.5719199,-9.8516035
33,0.11286035925149918,2.0616254806518555,78.6467514038086,0.02508692267103939,0.30895065458409593,-88.66458931826728,-0.671372,-1.0744605,9.211296,6.451282,-6.7226105,1.787669,-0.16508503,0.44729772,-7.3859878,6.568398,-7.8769946,-1.2307644,-3.240106,1.7431242,2.5953019,2.1281695,8.047025,-7.2467833,70.72923,4.2849417,-2.68829,0.65109617,1.4292969,-5.800308,-1.7256337,63.897564,-24.584574,-0.5732629,-9.844324
