Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_pitch_joint,head_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_roll_joint,left_ankle_pitch_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_roll_joint,right_ankle_pitch_joint
29,-0.07357531785964966,2.638662099838257,102.26758575439453,0.0810807764233931,0.31784108455795235,-88.69461419609138,-2.01477,2.2448933,6.8371363,-15.711842,4.1466603,-8.6084795,-4.700706,-2.5220256,71.546036,-23.155392,-2.5390744,-13.2907715,-8.377559,5.8521686,-6.650132,75.92053,4.4010286,-3.4826355,1.6581198,-1.8314724,0.92576796,7.776986,9.696235,-1.7245078,-8.644152,-2.6247003,-1.7457478,-5.5115023,11.810391,1.9749875,-10.729188
30,-0.07117690145969391,2.6369214057922363,102.2679672241211,0.08215721529757308,0.32001731650762855,-88.6898037021131,-2.0145493,2.246587,6.8367996,-15.711842,4.1466675,-8.609348,-4.7119246,-2.522356,71.54534,-23.154657,-2.5400708,-13.290193,-8.376871,5.863988,-6.6514935,75.92097,4.401004,-3.4824078,1.6578829,-1.8253633,0.922153,7.776634,9.682898,-1.7226526,-8.638275,-2.62661,-1.7485801,-5.5140114,11.812593,1.977155,-10.731716
31,-0.06785307079553604,2.6335175037384033,102.26779174804688,0.08201449185561349,0.32251882048996866,-88.68545520776458,-2.0141957,2.2482095,6.836455,-15.711842,4.1466737,-8.610292,-4.7230334,-2.522586,71.54461,-23.153984,-2.541123,-13.289558,-8.376166,5.875698,-6.652844,75.9214,4.4009266,-3.4821844,1.657527,-1.8279355,0.9202501,7.7718678,9.6852,-1.7202648,-8.640988,-2.6270766,-1.7506644,-5.5169463,11.813325,1.9798664,-10.734218
32,-0.06478334218263626,2.62882661819458,102.26718139648438,0.08260138940829251,0.32488655515067993,-88.68140905213309,-2.0137293,2.2498715,6.836074,-15.711841,4.146678,-8.61133,-4.734268,-2.5227258,71.54382,-23.153347,-2.5422554,-13.288833,-8.375451,5.8875933,-6.654234,75.92182,4.400828,-3.4819727,1.6570802,-1.8318564,0.91814035,7.7665505,9.691084,-1.7183899,-8.646066,-2.6306915,-1.753645,-5.5178404,11.820852,1.982533,-10.740718
33,-0.06351573020219803,2.6269118785858154,102.26670837402344,0.08197397714606859,0.32578407308961826,-88.68018819057775,-2.0135922,2.2503023,6.83597,-15.711841,4.146678,-8.611602,-4.737239,-2.522736,71.543625,-23.153206,-2.5425425,-13.288638,-8.375279,5.890774,-6.654581,75.92192,4.400812,-3.4819245,1.6569757,-1.8356256,0.9183556,7.763617,9.6973915,-1.7177166,-8.650087,-2.633401,-1.7540804,-5.5170746,11.825931,1.9834471,-10.744408
34,-0.06010786071419716,2.6246554851531982,102.26622772216797,0.08185504912583154,0.32619970710003965,-88.6762179305592,-2.013042,2.2521327,6.83552,-15.711837,4.1466722,-8.612715,-4.7477055,-2.5227027,71.542816,-23.152674,-2.5437262,-13.287752,-8.374653,5.9020867,-6.6560116,75.922264,4.400814,-3.4817739,1.6565589,-1.8368655,0.91649616,7.759845,9.700242,-1.7157856,-8.652667,-2.6342177,-1.7564253,-5.5191765,11.830311,1.985741,-10.748368
35,-0.05632010102272034,2.6239383220672607,102.2663345336914,0.08087528356690152,0.32618500378616666,-88.6740086547502,-2.012747,2.2531288,6.83527,-15.711833,4.1466665,-8.613303,-4.75325,-2.5226438,71.54241,-23.152426,-2.5443432,-13.287259,-8.374359,5.908158,-6.6567683,75.92242,4.4008512,-3.481713,1.6563653,-1.8364779,0.9150941,7.7584567,9.699999,-1.7138547,-8.653182,-2.6302469,-1.7576283,-5.522557,11.825502,1.9881676,-10.746804
36,-0.05336158722639084,2.6233651638031006,102.26610565185547,0.08069649232124507,0.3261435296178062,-88.67146372350956,-2.0124316,2.254197,6.8350077,-15.71183,4.1466603,-8.613921,-4.758758,-2.522545,71.541985,-23.152193,-2.5449817,-13.286719,-8.374081,5.9142523,-6.657559,75.92256,4.4009175,-3.481663,1.6561743,-1.8379067,0.9135572,7.7557282,9.70299,-1.7121056,-8.65527,-2.630972,-1.7594906,-5.5237164,11.828366,1.9899025,-10.748843
37,-0.05185263603925705,2.6201934814453125,102.26580810546875,0.08128697714636736,0.32656883937302006,-88.66605206365365,-2.0118067,2.2563727,6.834492,-15.711823,4.1466494,-8.615193,-4.769089,-2.5222857,71.54114,-23.151743,-2.546283,-13.285563,-8.373564,5.925703,-6.659231,75.922806,4.4010963,-3.481592,1.6557117,-1.8363013,0.91170937,7.7519956,9.701707,-1.7111714,-8.656065,-2.6305864,-1.7615087,-5.527945,11.832093,1.9912126,-10.753037
38,-0.04869043081998825,2.615699052810669,102.26580810546875,0.09046869462737941,0.3315085251196802,-88.64412726980687,-1.9549774,2.33647,6.8361945,-15.710404,4.1188517,-8.667838,-4.8543315,-2.515653,71.56655,-23.006687,-2.7107317,-13.122424,-8.322328,6.0080338,-6.762474,75.85968,4.3682837,-3.509983,1.444137,-1.8190159,0.8951509,7.7299423,9.662379,-1.7087004,-8.637868,-2.6408625,-1.7764684,-5.552537,11.850524,1.9939775,-10.766309
